model,.metric,mean,std_err,n
Logistic regression,accuracy,0.8590172933096855,3.0789581214163418e-6,5
Random forest,accuracy,0.8590172933096855,3.0789581214163418e-6,5
Logistic regression,roc_auc,0.6561565818253086,0.0016346124544362483,5
Random forest,roc_auc,0.6560230421818263,0.001743512567902312,5
